USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root       158  0.0  0.0      0     0 ?        S    Feb24   0:00 [crypto/5]
root       159  0.0  0.0      0     0 ?        S    Feb24   0:00 [crypto/6]
root       160  0.0  0.0      0     0 ?        S    Feb24   0:00 [crypto/7]
root       161  0.0  0.0      0     0 ?        S    Feb24   0:00 [crypto/8]
root       162  0.0  0.0      0     0 ?        S    Feb24   0:00 [crypto/9]
root       163  0.0  0.0      0     0 ?        S    Feb24   0:00 [crypto/10]
root       164  0.0  0.0      0     0 ?        S    Feb24   0:00 [crypto/11]
root       169  0.0  0.0      0     0 ?        S    Feb24   0:00 [kthrotld/0]
root       170  0.0  0.0      0     0 ?        S    Feb24   0:00 [kthrotld/1]
root       171  0.0  0.0      0     0 ?        S    Feb24   0:00 [kthrotld/2]
root       172  0.0  0.0      0     0 ?        S    Feb24   0:00 [kthrotld/3]
root       173  0.0  0.0      0     0 ?        S    Feb24   0:00 [kthrotld/4]
root       174  0.0  0.0      0     0 ?        S    Feb24   0:00 [kthrotld/5]
root       175  0.0  0.0      0     0 ?        S    Feb24   0:00 [kthrotld/6]
root       176  0.0  0.0      0     0 ?        S    Feb24   0:00 [kthrotld/7]
root       177  0.0  0.0      0     0 ?        S    Feb24   0:00 [kthrotld/8]
root       178  0.0  0.0      0     0 ?        S    Feb24   0:00 [kthrotld/9]
root       179  0.0  0.0      0     0 ?        S    Feb24   0:00 [kthrotld/10]
root       180  0.0  0.0      0     0 ?        S    Feb24   0:00 [kthrotld/11]
root       182  0.0  0.0      0     0 ?        S    Feb24   0:00 [kpsmoused]
root       183  0.0  0.0      0     0 ?        S    Feb24   0:00 [usbhid_resumer]
root       214  0.0  0.0      0     0 ?        S    Feb24   0:00 [kstriped]
root       371  0.0  0.0      0     0 ?        S    Feb24  45:11 [scsi_eh_0]
root       372  0.0  0.0      0     0 ?        S    Feb24  42:09 [scsi_eh_1]
root       374  0.0  0.0      0     0 ?        S    Feb24   0:00 [scsi_eh_2]
root       375  0.0  0.0      0     0 ?        S    Feb24   0:00 [scsi_eh_3]
root       467  0.0  0.0      0     0 ?        S    Feb24   1:18 [kdmflush]
root       481  0.0  0.0      0     0 ?        S    Feb24  13:18 [jbd2/dm-0-8]
root       482  0.0  0.0      0     0 ?        S    Feb24   0:00 [ext4-dio-unwrit]
root       483  0.0  0.0      0     0 ?        S    Feb24   0:00 [ext4-dio-unwrit]
root       484  0.0  0.0      0     0 ?        S    Feb24   0:00 [ext4-dio-unwrit]
root       485  0.0  0.0      0     0 ?        S    Feb24   0:00 [ext4-dio-unwrit]
root       486  0.0  0.0      0     0 ?        S    Feb24   0:00 [ext4-dio-unwrit]
root       487  0.0  0.0      0     0 ?        S    Feb24   0:00 [ext4-dio-unwrit]
root       488  0.0  0.0      0     0 ?        S    Feb24   0:00 [ext4-dio-unwrit]
root       489  0.0  0.0      0     0 ?        S    Feb24   0:00 [ext4-dio-unwrit]
root       490  0.0  0.0      0     0 ?        S    Feb24   0:00 [ext4-dio-unwrit]
root       491  0.0  0.0      0     0 ?        S    Feb24   0:00 [ext4-dio-unwrit]
root       492  0.0  0.0      0     0 ?        S    Feb24   0:00 [ext4-dio-unwrit]
root       493  0.0  0.0      0     0 ?        S    Feb24   0:00 [ext4-dio-unwrit]
root       586  0.0  0.0  10848   488 ?        S<s  Feb24   0:00 /sbin/udevd -d
root       726  0.0  0.0      0     0 ?        S    Feb24   0:00 [edac-poller]
root       795  0.0  0.0      0     0 ?        S    Feb24   0:00 [hd-audio0]
root      1113  0.0  0.0      0     0 ?        S    Feb24   0:00 [kvm-irqfd-clean]
root      1157  0.0  0.0      0     0 ?        S    Feb24  52:07 [flush-253:0]
root      1162  0.0  0.0      0     0 ?        S    Feb24   0:00 [kjournald]
root      1209  0.0  0.0      0     0 ?        S    Feb24   0:16 [kauditd]
tcz       1441  0.0  0.0 344096    36 ?        S    Mar29   0:00 python2.7 ./scripts/nodemanager_local.py 9002 --log_dir=logs
root      1461  0.0  0.0 101140  4660 ?        Ss   10:35   0:00 sshd: yanzhan2 [priv]
yanzhan2  1470  0.0  0.0 101276  2136 ?        S    10:35   0:00 sshd: yanzhan2@pts/40
yanzhan2  1471  0.0  0.0 111336  2124 pts/40   Ss+  10:35   0:00 -csh
root      1518  0.0  0.0  93200   492 ?        S<sl Feb24   1:02 auditd
root      1543  0.0  0.0 257864  4716 ?        Sl   Feb24  11:59 /sbin/rsyslogd -i /var/run/syslogd.pid -c 5
root      1572  0.0  0.0  10828   456 ?        Ss   Feb24  13:46 irqbalance --pid=/var/run/irqbalance.pid
rpc       1586  0.0  0.0  18976   388 ?        Ss   Feb24   0:04 rpcbind
dbus      2112  0.0  0.0  24444  1680 ?        Ss   Feb24   0:05 dbus-daemon --system
root      2122  0.0  0.0 105736  4880 ?        Ssl  Feb24   0:08 NetworkManager --pid-file=/var/run/NetworkManager/NetworkManager.pid
root      2126  0.0  0.0  58048   884 ?        S    Feb24   0:00 /usr/sbin/modem-manager
rpcuser   2141  0.0  0.0  23348   188 ?        Ss   Feb24   0:00 rpc.statd
