USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      3226  0.0  0.0  47384  1844 ?        Sl   16:52   0:00 spiceusbsrvd
root      3229  0.0  0.0 132280  2296 ?        Ssl  16:52   0:00 /usr/sbin/gdm-binary -nodaemon
root      3236  0.0  0.0   4060   576 tty2     Ss+  16:52   0:00 /sbin/mingetty /dev/tty2
root      3238  0.0  0.0   4060   576 tty3     Ss+  16:52   0:00 /sbin/mingetty /dev/tty3
root      3240  0.0  0.0   4060   572 tty4     Ss+  16:52   0:00 /sbin/mingetty /dev/tty4
root      3242  0.0  0.0   4060   572 tty5     Ss+  16:52   0:00 /sbin/mingetty /dev/tty5
root      3244  0.0  0.0   4060   572 tty6     Ss+  16:52   0:00 /sbin/mingetty /dev/tty6
root      3250  0.0  0.0  10848   948 ?        S<   16:52   0:00 /sbin/udevd -d
root      3290  0.0  0.0 163068  3772 ?        Sl   16:52   0:00 /usr/libexec/gdm-simple-slave --display-id /org/gnome/DisplayManager/Display1 --force-active-vt
root      3293  1.5  0.3 178040 44236 tty1     Ss+  16:52   0:02 /usr/bin/Xorg :0 -nr -verbose -audit 4 -auth /var/run/gdm/auth-for-gdm-c4Rd7j/database -nolisten tcp vt1
root      3362  0.0  0.0  10848   908 ?        S<   16:53   0:00 /sbin/udevd -d
root      3363  0.0  0.0      0     0 ?        S    16:53   0:00 [flush-afs]
root      3378  0.0  0.0 2084848 3700 ?        Sl   16:53   0:00 /usr/sbin/console-kit-daemon --no-daemon
gdm       3448  0.0  0.0  18172   796 ?        S    16:53   0:00 /usr/bin/dbus-launch --exit-with-session
gdm       3449  0.0  0.0  19884   928 ?        Ss   16:53   0:00 /bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
gdm       3450  0.0  0.0 266080  9416 ?        Ssl  16:53   0:00 /usr/bin/gnome-session --autostart=/usr/share/gdm/autostart/LoginWindow/
root      3453  0.0  0.0  49820  3132 ?        S    16:53   0:00 /usr/libexec/devkit-power-daemon
gdm       3457  0.0  0.0 131752  5916 ?        S    16:53   0:00 /usr/libexec/gconfd-2
gdm       3475  0.0  0.0 118448  5900 ?        S    16:53   0:00 /usr/libexec/at-spi-registryd
gdm       3476  0.2  0.1 366072 13724 ?        Ssl  16:53   0:00 /usr/libexec/gnome-settings-daemon --gconf-prefix=/apps/gdm/simple-greeter/settings-manager-plugins
gdm       3478  0.0  0.0 356484  7684 ?        Ssl  16:53   0:00 /usr/libexec/bonobo-activation-server --ac-activate --ior-output-fd=12
gdm       3485  0.0  0.0 135100  2188 ?        S    16:53   0:00 /usr/libexec/gvfsd
gdm       3486  0.0  0.0 301400 10600 ?        S    16:53   0:00 metacity
gdm       3518  0.0  0.0 244440  8112 ?        S    16:53   0:00 /usr/libexec/polkit-gnome-authentication-agent-1
gdm       3520  0.0  0.1 430204 20100 ?        S    16:53   0:00 /usr/libexec/gdm-simple-greeter
root      3522  0.0  0.0  50712  4248 ?        S    16:53   0:00 /usr/libexec/polkit-1/polkitd
gdm       3523  0.0  0.0 269824  9432 ?        S    16:53   0:00 gnome-power-manager
gdm       3535  0.0  0.0 503584  4496 ?        S<sl 16:53   0:00 /usr/bin/pulseaudio --start --log-target=syslog
rtkit     3537  0.0  0.0 166588  1192 ?        SNl  16:53   0:00 /usr/libexec/rtkit-daemon
root      3542  0.0  0.0 195176  3092 ?        S    16:53   0:00 pam: gdm-password
root      3644  0.0  0.0  44964  1040 ?        Ss   16:53   0:00 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -B -u -f /var/log/wpa_supplicant.log -P /var/run/wpa_supplicant.pid
root      3663  0.0  0.0 100904   596 ?        S    16:54   0:00 sleep 60
root      3929  0.0  0.0 101112  4668 ?        Ss   16:55   0:00 sshd: tdecker [priv]
tdecker   3938  0.0  0.0 101112  2108 ?        S    16:55   0:00 sshd: tdecker@notty
tdecker   3939  0.0  0.0 110764  1436 ?        Ss   16:55   0:00 csh -c sh getData.sh
tdecker   3955  0.0  0.0 106060  1332 ?        S    16:55   0:00 sh getData.sh
tdecker   3960  0.0  0.0 108368  1156 ?        R    16:55   0:00 ps aux
